number,district,address,amount
1.1,Адмиралтейский,"10-я Красноармейская ул., д.3, к.9",7
1.2,Адмиралтейский,"10-я Красноармейская ул., д.8",3
1.3,Адмиралтейский,"11-я Красноармейская ул., д.9",3
1.4,Адмиралтейский,"12-я Красноармейская ул., д.1/21",1
1.5,Адмиралтейский,"13-я Красноармейская ул., д.14",3
1.6,Адмиралтейский,"13-я Красноармейская ул., д.24",3
1.7,Адмиралтейский,"1-я Красноармейская ул., д.1/21, лит.Д",1
1.8,Адмиралтейский,"1-я Красноармейская ул., д.12",11
1.9,Адмиралтейский,"1-я Красноармейская ул., д.2",3
1.10,Адмиралтейский,"1-я Красноармейская ул., д.6",1
1.11,Адмиралтейский,"1-я Красноармейская ул., д.7-9",3
1.12,Адмиралтейский,"1-я Красноармейская ул., д.8-10",2
1.13,Адмиралтейский,"2-я Красноармейская ул., д.19",3
1.14,Адмиралтейский,"3-я Красноармейская ул., д.17/20",9
1.15,Адмиралтейский,"4-я Красноармейская ул., д.3",1
1.16,Адмиралтейский,"4-я Красноармейская ул., д.4а",1
1.17,Адмиралтейский,"5-я Красноармейская ул., д.16",3
1.18,Адмиралтейский,"6-я Красноармейская ул., д.22",3
1.19,Адмиралтейский,"6-я Красноармейская ул., д.2-4",1
1.20,Адмиралтейский,"8-я Красноармейская ул., д.13",3
1.21,Адмиралтейский,"9-я Красноармейская ул., д.10Б",3
1.22,Адмиралтейский,"9-я Красноармейская ул., д.4-6",14
1.23,Адмиралтейский,"9-я Красноармейская ул., д.9",12
1.24,Адмиралтейский,"Адмиралтейская наб., д.10",3
1.25,Адмиралтейский,"Адмиралтейская наб., д.12-14",5
1.26,Адмиралтейский,"Адмиралтейская наб., д.4",12
1.27,Адмиралтейский,"Адмиралтейская наб., д.6",3
1.28,Адмиралтейский,"Адмиралтейский пр., д.1",4
1.29,Адмиралтейский,"Адмиралтейский пр., д.10",1
1.30,Адмиралтейский,"Адмиралтейского кан. наб., д.1",1
1.31,Адмиралтейский,"Адмиралтейского кан. наб., д.11-13",3
1.32,Адмиралтейский,"Адмиралтейского кан. наб., д.3",1
1.33,Адмиралтейский,"Адмиралтейского кан. наб., д.7",2
1.34,Адмиралтейский,"Адмиралтейского кан. наб., д.9",9
1.35,Адмиралтейский,"Английская наб., д.22",2
1.36,Адмиралтейский,"Английская наб., д.38",1
1.37,Адмиралтейский,"Английская наб., д.44",1
1.38,Адмиралтейский,"Английский пр., д.17-19",3
1.39,Адмиралтейский,"Английский пр., д.36",2
1.40,Адмиралтейский,"Английский пр., д.40",4
1.41,Адмиралтейский,"Английский пр., д.45",2
1.42,Адмиралтейский,"Английский пр., д.4-6",11
1.43,Адмиралтейский,"Английский пр., д.56",3
1.44,Адмиралтейский,"Английский пр., д.62",3
1.45,Адмиралтейский,"Антоненко пер., д.2",3
1.46,Адмиралтейский,"Балтийского вокзала пл., д.1",10
1.47,Адмиралтейский,"Батайский пер., д.3",4
1.48,Адмиралтейский,"Батайский пер., д.6",16
1.49,Адмиралтейский,Благовещенский мост,12
1.50,Адмиралтейский,"Большая Морская ул., д.11",2
1.51,Адмиралтейский,"Большая Морская ул., д.28/13",1
1.52,Адмиралтейский,"Большая Морская ул., д.39",2
1.53,Адмиралтейский,"Большая Морская ул., д.39, лит.Б",1
1.54,Адмиралтейский,"Большая Морская ул., д.40",1
1.55,Адмиралтейский,"Большая Морская ул., д.52",1
1.56,Адмиралтейский,"Большая Морская ул., д.56",1
1.57,Адмиралтейский,"Большая Подъяческая ул., д.17",8
1.58,Адмиралтейский,"Большая Подъяческая ул., д.8",17
1.59,Адмиралтейский,"Большая Подьяческая ул., д.1-3",1
1.60,Адмиралтейский,"Большой Казачий пер., д.1/61",3
1.61,Адмиралтейский,"Большой Казачий пер., д.3",1
1.62,Адмиралтейский,"Большой Казачий пер., д.6",4
1.63,Адмиралтейский,"Большой Казачий пер., д.7",1
1.64,Адмиралтейский,"Большой Казачий пер., д.9",8
1.65,Адмиралтейский,"Бородинская ул., д.1/88",2
1.66,Адмиралтейский,"Бородинская ул., д.11",1
1.67,Адмиралтейский,"Бородинская ул., д.15",1
1.68,Адмиралтейский,"Бронницкая ул., д.15",1
1.69,Адмиралтейский,"Бронницкая ул., д.16",1
1.70,Адмиралтейский,"Бронницкая ул., д.2/70",15
1.71,Адмиралтейский,"Бронницкая ул., д.22",3
1.72,Адмиралтейский,"Бронницкая ул., д.26",6
1.73,Адмиралтейский,"Бронницкая ул., д.27",8
1.74,Адмиралтейский,"Бронницкая ул., д.37",1
1.75,Адмиралтейский,"Бумажная ул., д.10",3
1.76,Адмиралтейский,"Введенский кан., д.8",2
1.77,Адмиралтейский,"Верейская ул., д.20",13
1.78,Адмиралтейский,"Верейская ул., д.22-24",1
1.79,Адмиралтейский,"Верейская ул., д.23",3
1.80,Адмиралтейский,"Верейская ул., д.35",1
