district,address,type,cadastral_number,area,status,document,obj_id
Калининский,"195009, г.Санкт-Петербург, улица Комсомола, д. 33, литера А",помещение,78:10:5106:0:6:2,262.7,исключен,111-р от 24.08.2010,400019652
Центральный,"191104, г.Санкт-Петербург, улица Жуковского, д. 7-9, литера А",часть помещения,78:1219:2006:49:2,108.2,включен,237-р от 26.12.2008,300013581
Центральный,"191025, г.Санкт-Петербург, улица Маяковского, д. 2/94, литера А",помещение,78:1219:4:9:3,100.8,исключен,911-рк от 28.11.2016,300007945
Центральный,"191025, г.Санкт-Петербург, улица Маяковского, д. 4, литера А",помещение,78:31:0001219:3931,101.6,включен,237-р от 26.12.2008,300001882
Центральный,"191123, г.Санкт-Петербург, Кирочная улица, д. 23, литера А",помещение,78:1276:2001:26:2,319.2,исключен,29-р от 23.03.2010,300017588
Центральный,"191123, г.Санкт-Петербург, Саперный переулок, д. 9, литера А",помещение,78:31:1215:0:47:5,96.6,исключен,9-р от 05.02.2015,300013111
Центральный,"191002, г.Санкт-Петербург, улица Рубинштейна, д. 32, литера А",помещение,78:31:0001136:3608,99.5,включен,237-р от 26.12.2008,300123454
Центральный,"191104, г.Санкт-Петербург, Литейный проспект, д. 46, литера А",помещение,78:31:1282:6:26:7,178.7,исключен,911-рк от 28.11.2016,300006440
Центральный,"191104, г.Санкт-Петербург, Литейный проспект, д. 46, литера А",часть помещения,78:31:1282:6:26:8,49.9,включен,237-р от 26.12.2008,300106492
Центральный,"191119, г.Санкт-Петербург, Коломенская улица, д. 35-37, литера А",помещение,78:1698:0:10:1,134.1,исключен,911-рк от 28.11.2016,300022186
Центральный,"191040, г.Санкт-Петербург, Лиговский проспект, д. 51, литера А",помещение,78:31:1045:2008:41:5,71.3,исключен,911-рк от 28.11.2016,300018599
Калининский,"195009, г.Санкт-Петербург, улица Комсомола, д. 16, литера А",помещение,78:10:5102:3:4:2,19.9,включен,237-р от 26.12.2008,400001579
Центральный,"193167, г.Санкт-Петербург, Невский проспект, д. 172/1, литера А",помещение,78:1500:0:20:2,69.5,включен,237-р от 26.12.2008,300033783
Центральный,"193036, г.Санкт-Петербург, Невский проспект, д. 140, литера А",часть помещения,78:31:0001493:2672,493.1,исключен,113-р от 15.10.2013,300017872
Московский,"196084, г.Санкт-Петербург, Московский проспект, д. 72, литера В",помещение,78:14:7519:13:7:3,41.9,исключен,911-рк от 28.11.2016,1200003772
Центральный,"191025, г.Санкт-Петербург, Колокольная улица, д. 10, литера А",помещение,78:31:1222:0:12:1,53.1,включен,1054-рк от 31.10.2019,300018593
Центральный,"191104, г.Санкт-Петербург, Кирочная улица, д. 7, литера А",помещение,78:1271:1:1:14,33.7,исключен,911-рк от 28.11.2016,300078309
Московский,"196070, г.Санкт-Петербург, Московский проспект, д. 170, литера А",помещение,78:14:7613:16:4:6,13.9,исключен,911-рк от 28.11.2016,1200003198
Центральный,"191002, г.Санкт-Петербург, Большая Московская улица, д. 1-3, литера Б",помещение,78:1053:0:46:2,53.1,включен,1054-рк от 31.10.2019,300090138
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 20",часть помещения,78:1056Н:0:11:7,45.9,исключен,272-рк от 22.04.2016,300014957
Центральный,"191023, г.Санкт-Петербург, Садовая улица, д. 28-30, к. 20",часть помещения,78:1056Н:0:11:2,134.5,исключен,272-рк от 22.04.2016,300014962
Центральный,"191186, г.Санкт-Петербург, Гороховая улица, д. 24/24, литера А",помещение,78:31:1231:2:4:2,28.2,исключен,911-рк от 28.11.2016,300013821
Центральный,"191011, г.Санкт-Петербург, Невский проспект, д. 60, литера А",помещение,78:31:0001285:3559,278.2,исключен,386-рк от 29.04.2020,300013919
Центральный,"191104, г.Санкт-Петербург, улица Белинского, д. 11, литера А",помещение,78:31:0001283:3827,44.7,включен,963-рк от 12.10.2020,300007905
Центральный,"191025, г.Санкт-Петербург, улица Маяковского, д. 1/96, литера А",помещение,78:31:1130:23:172:26,135.3,исключен,911-рк от 28.11.2016,100012013
Петроградский,"197046, г.Санкт-Петербург, Малая Посадская улица, д. 4, литера А",помещение,78:3032:0:43:3,51.3,исключен,78-р от 02.06.2010,1500054907
Центральный,"191028, г.Санкт-Петербург, Моховая улица, д. 30, литера А",помещение,78:1266:0:114:1,59.5,включен,237-р от 26.12.2008,300021520
Приморский,"197183, г.Санкт-Петербург, улица Савушкина, д. 3, литера А",помещение,78:34:0414104:1907,209.1,включен,703-рк от 24.07.2020,1700027760
Приморский,"197372, г.Санкт-Петербург, проспект Авиаконструкторов, д. 11, к. 1, литера А",помещение,78:34:4128:0:49:1,39.3,включен,237-р от 26.12.2008,1700027178
Адмиралтейский,"198013, г.Санкт-Петербург, Можайская улица, д. 45, литера Б",здание,78:1711:0:22,124.2,включен,237-р от 26.12.2008,1100007951
Петроградский,"197198, г.Санкт-Петербург, улица Воскова, д. 8/5, литера А",помещение,78:7:3061:3:4:1,46.0,исключен,10-р от 05.02.2015,1500068213
Адмиралтейский,"198013, г.Санкт-Петербург, набережная реки Фонтанки, д. 110, литера А",помещение,78:32:1617:2004:28:4,12.8,включен,237-р от 26.12.2008,1100014754
Адмиралтейский,"190068, г.Санкт-Петербург, Канонерская улица, д. 31, литера А",помещение,78:32:1075:0:14:2,60.6,включен,237-р от 26.12.2008,1100007538
Адмиралтейский,"190068, г.Санкт-Петербург, набережная реки Фонтанки, д. 137, литера Д",помещение,78:32:0001066:1467,85.1,включен,1205-рк от 18.12.2020,1100016522
Кировский,"г.Санкт-Петербург, проспект Стачек, д. 12, литера В",помещение,78:8048:0:13:7,83.9,включен,237-р от 26.12.2008,500001328
Фрунзенский,"192102, г.Санкт-Петербург, Стрельбищенская улица, д. 16, литера А",часть помещения,78:13:0007332:1223,217.6,включен,237-р от 26.12.2008,2100012306
